,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
137,J. Jerebko,Boston,60,22,28,67,41,123,119,72,191,54,38,21
138,G. Green,Boston,29,28,33,51,37,114,99,43,62,16,22,17
139,T. Zeller,Boston,40,18,33,73,0,149,1,43,76,42,19,16
140,B. Lopez,Brooklyn,164,271,335,382,125,720,357,69,262,110,168,87
141,T. Booker,Brooklyn,134,73,109,260,23,481,71,67,411,139,122,36
142,B. Bogdanović,Brooklyn,90,136,155,170,99,334,277,55,174,23,93,63
143,J. Lin,Brooklyn,149,87,109,99,43,197,126,30,91,6,71,39
144,R. Hollis-Jefferson,Brooklyn,136,169,226,199,12,426,61,71,315,88,102,44
145,J. Harris,Brooklyn,54,35,49,69,85,141,221,52,131,16,55,47
146,L. Scola,Brooklyn,37,25,37,54,17,102,50,36,87,52,34,10
147,S. Kilpatrick,Brooklyn,150,189,225,192,101,414,295,67,242,19,132,91
148,J. Hamilton,Brooklyn,49,34,46,102,51,169,165,57,174,65,37,34
149,G. Vásquez,Brooklyn,5,2,3,1,1,5,3,3,2,0,1,2
150,C. McCullough,Brooklyn,2,2,3,15,1,25,6,13,9,9,2,3
151,I. Whitehead,Brooklyn,172,85,102,147,42,334,135,67,139,26,133,54
152,J. Parker,Milwaukee,142,162,218,334,65,636,178,51,235,79,94,75
153,M. Dellavedova,Milwaukee,343,67,79,119,72,296,196,71,120,21,128,62
154,G. Antetokounmpo,Milwaukee,398,437,567,575,49,1017,172,75,511,136,213,127
155,M. Teletović,Milwaukee,44,33,43,49,95,102,277,64,138,11,35,40
156,M. Plumlee,Milwaukee,18,22,35,30,0,68,0,31,32,23,22,6
157,G. Monroe,Milwaukee,175,168,224,361,0,677,3,75,341,157,128,74
158,M. Beasley,Milwaukee,50,73,100,185,16,330,38,51,147,37,63,41
159,M. Brogdon,Milwaukee,313,103,118,207,76,431,186,73,157,44,109,72
160,J. Terry,Milwaukee,91,22,26,29,64,65,157,68,85,15,31,32
161,J. Henson,Milwaukee,56,74,107,154,0,301,1,56,199,91,52,30
162,R. Vaughn,Milwaukee,16,1,2,22,24,56,72,31,43,2,9,15
163,M. Kidd-Gilchrist,Charlotte,106,133,173,271,1,562,9,75,386,148,51,69
164,K. Walker,Charlotte,413,284,332,384,223,812,557,75,258,44,159,147
165,M. Williams,Charlotte,102,123,142,167,118,332,331,70,375,82,51,74
166,R. Hibbert,Charlotte,21,61,75,78,0,144,0,42,98,53,31,10
167,N. Batum,Charlotte,417,200,233,234,128,526,380,71,412,47,184,93
168,M. Belinelli,Charlotte,143,138,156,156,100,324,274,71,156,14,66,50
169,C. Zeller,Charlotte,88,117,178,234,0,402,1,56,240,127,62,31
170,S. Hawes,Charlotte,62,30,34,88,16,163,55,34,114,33,40,21
171,R. Sessions,Charlotte,129,91,118,79,21,201,62,50,63,11,46,34
172,J. Lamb,Charlotte,70,88,106,159,38,304,132,56,211,25,35,51
173,S. Hill,New Orleans,134,95,117,80,87,180,248,74,234,46,78,44
174,A. Davis,New Orleans,156,479,596,697,37,1328,122,72,705,170,177,103
175,E. Moore,New Orleans,152,51,66,197,74,397,198,69,113,31,60,71
176,T. Frazier,New Orleans,309,89,115,121,36,260,117,60,129,30,98,34
177,Ö. Aşık,New Orleans,15,23,39,30,0,64,0,30,115,47,14,9
178,B. Hield,New Orleans,76,24,28,96,89,230,241,57,145,20,48,63
179,A. Ajinça,New Orleans,10,22,31,64,0,130,3,34,105,39,26,4
180,L. Galloway,New Orleans,65,37,46,64,101,174,267,55,100,21,28,46
181,L. Stephenson,New Orleans,29,5,8,25,1,45,10,6,16,4,11,6
182,D. Cunningham,New Orleans,34,16,27,94,63,167,168,60,205,54,27,30
183,T. Jones,New Orleans,58,103,170,212,19,412,75,51,237,66,49,42
184,N. Jokić,Denver,319,165,199,399,41,637,120,66,437,199,152,100
185,J. Nurkić,Denver,56,56,113,151,0,297,0,45,171,90,82,29
186,E. Mudiay,Denver,192,112,143,136,52,342,166,50,136,26,113,79
187,D. Gallinari,Denver,123,310,343,182,109,384,285,58,256,37,74,97
188,W. Barton,Denver,206,138,184,208,87,432,235,60,202,59,97,102
189,W. Chandler,Denver,135,130,178,302,99,577,297,65,318,98,109,121
190,K. Faried,Denver,49,128,184,217,0,388,6,57,270,175,56,54
191,J. Nelson,Denver,379,43,60,161,104,328,267,74,160,27,126,85
192,J. Murray,Denver,136,81,94,151,104,335,305,74,149,38,99,86
193,M. Gasol,Memphis,315,251,301,409,96,846,252,69,372,58,152,147
