,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
129,R. Turiaf,Washington,5,0,0,3,0,3,0,4,11,1,6,0
130,N. Young,Washington,46,102,120,167,73,394,197,40,77,20,59,81
131,C. Singleton,Washington,40,26,38,57,31,149,95,50,138,37,30,38
132,S. Mack,Washington,81,18,28,50,12,124,38,48,64,11,28,26
133,T. Booker,Washington,40,56,93,180,1,339,2,49,206,119,58,36
134,R. Mason,Washington,33,7,9,32,41,71,111,39,44,3,20,22
135,K. Humphries,New Jersey,65,165,225,259,0,532,0,51,365,192,104,74
136,A. Morrow,New Jersey,50,76,81,135,93,298,240,50,85,26,60,64
137,J. Petro,New Jersey,37,26,31,85,1,200,1,48,127,53,33,29
138,D. Williams,New Jersey,423,227,268,249,109,559,315,49,142,22,195,97
139,D. James,New Jersey,3,8,12,13,0,34,1,7,26,7,12,9
140,M. Okur,New Jersey,30,3,4,29,23,67,72,17,59,22,25,22
141,J. Farmar,New Jersey,129,51,57,92,55,190,125,38,54,7,68,33
142,S. Williams,New Jersey,48,76,104,114,21,251,87,52,242,152,71,65
143,M. Brooks,New Jersey,91,91,123,168,41,358,128,44,96,59,91,70
144,S. Gaines,New Jersey,99,48,76,57,21,148,63,44,66,24,41,35
145,K. Lowry,Houston,273,147,169,121,71,276,183,38,163,37,123,55
146,J. Hill,Houston,14,25,39,68,0,132,3,32,108,47,24,13
147,K. Martin,Houston,110,148,166,144,78,312,225,40,93,13,70,66
148,L. Scola,Houston,102,122,160,352,0,698,2,52,244,93,130,59
149,C. Budinger,Houston,49,39,46,87,56,187,138,44,131,33,42,31
150,S. Dalembert,Houston,30,72,88,177,0,340,1,52,253,133,71,40
151,T. Williams,Houston,10,6,12,12,8,38,19,11,26,2,10,8
152,M. Morris,Houston,0,6,8,7,0,20,7,9,2,3,4,5
153,C. Lee,Houston,59,47,55,113,59,246,151,44,101,16,43,52
154,J. Adrien,Houston,1,7,12,7,0,16,0,7,17,5,2,2
155,G. Dragić,Houston,243,86,111,143,45,276,132,52,86,33,112,51
156,D. Collison,Indiana,246,104,123,169,31,381,79,51,135,29,95,56
157,R. Hibbert,Indiana,83,126,180,266,0,535,1,51,284,166,104,68
158,D. West,Indiana,112,104,132,252,2,533,9,51,251,90,72,69
159,D. Granger,Indiana,82,185,218,204,88,477,249,49,171,62,91,96
160,P. George,Indiana,117,97,123,151,77,312,192,51,228,40,92,55
161,G. Hill,Indiana,79,57,73,80,39,162,97,36,86,19,37,31
162,T. Hansbrough,Indiana,26,175,221,156,0,370,1,51,135,90,51,47
163,L. Stephenson,Indiana,45,8,15,34,2,80,24,38,39,12,35,16
164,D. Jones,Indiana,50,59,68,68,26,167,56,51,71,19,34,30
165,R. Stuckey,Detroit,171,209,247,185,28,401,78,42,89,30,86,67
166,B. Gordon,Detroit,94,65,75,130,44,299,106,38,78,7,90,51
167,G. Monroe,Detroit,127,167,218,328,0,642,0,52,313,198,135,84
168,J. Jerebko,Detroit,37,87,105,158,24,301,88,52,174,86,52,50
169,T. Prince,Detroit,124,63,82,248,31,579,80,50,166,58,58,104
170,B. Knight,Detroit,194,81,108,167,80,396,218,52,141,28,134,78
171,A. Daye,Detroit,31,30,34,50,12,139,55,30,64,13,36,27
172,J. Maxiell,Detroit,35,44,80,135,0,286,2,51,161,100,55,40
173,B. Wallace,Detroit,30,9,31,28,1,67,2,49,147,65,27,13
174,W. Bynum,Detroit,32,36,48,37,4,107,15,21,28,6,30,15
175,D. Augustin,Charlotte,246,69,79,97,50,239,151,39,74,21,89,46
176,B. Diaw,Charlotte,158,17,27,93,23,197,86,37,148,47,84,34
177,G. Henderson,Charlotte,87,88,123,227,9,481,35,39,114,44,70,49
178,C. Maggette,Charlotte,37,164,190,106,23,283,64,29,98,21,52,42
179,D. White,Charlotte,34,29,41,136,1,270,1,42,117,40,31,22
180,K. Walker,Charlotte,211,126,156,160,50,407,162,50,141,25,86,59
181,D. Brown,Charlotte,44,71,103,137,3,255,13,50,87,62,35,27
182,M. Carroll,Charlotte,28,19,22,32,5,80,26,34,33,6,17,10
183,B. Mullens,Charlotte,33,71,83,178,5,400,19,49,159,62,40,48
184,B. Biyombo,Charlotte,19,42,91,86,0,188,0,45,181,77,50,21
185,D. Diop,Charlotte,18,1,6,13,0,38,0,22,48,27,15,7
186,S. Jackson,Milwaukee,77,50,60,67,30,164,108,26,66,16,66,35
